daily,index,cumsum,cs_mv14d,d_mv14d,cs_savgol,d_savgol
2044,318,673147,673791.1428571428,1903.0,672839.4374130013,1812.5887687220238
2023,319,675170,675727.0,1935.8571428571595,674621.2783909689,1781.8409779676003
2070,320,677240,677705.0,1978.0,676490.1163952268,1868.8380042578792
1141,321,678381,679686.9285714285,1981.9285714285215,678469.6720903818,1979.5556951550534
697,322,679078,681667.9285714285,1981.0,680382.8744075318,1913.2023171499604
2936,323,682014,683680.1428571428,2012.214285714319,682392.5836439395,2009.7092364076525
2344,324,684358,685723.1428571428,2043.0,684380.1856010748,1987.6019571353681
2415,325,686773,687799.5714285715,2076.428571428638,686406.8309393892,2026.6453383143526
2270,326,689043,689913.3571428572,2113.785714285681,688479.0150448765,2072.1841054873075
2524,327,691567,692089.2142857143,2175.8571428571595,690652.6744397925,2173.6593949160306
1357,328,692924,694294.2142857143,2205.0,692878.9795014408,2226.3050616482506
795,329,693719,696509.6428571428,2215.4285714285215,695098.1010272822,2219.121525841416
3286,330,697005,698751.0,2241.3571428571595,697406.3433013771,2308.242274094955
2700,331,699705,701011.7142857143,2260.714285714319,699683.8271255001,2277.48382412293
2512,332,702217,703268.2142857143,2256.5,702011.9224129125,2328.095287412405
2546,333,704763,705531.2142857143,2263.0,704363.926765002,2352.0043520894833
2939,334,707702,707786.1428571428,2254.9285714285215,706740.7942592361,2376.8674942341167
1549,335,709251,710033.8571428572,2247.714285714319,709112.1773149398,2371.3830557037145
843,336,710094,712267.2142857143,2233.3571428571595,711426.7131743192,2314.5358593794517
3299,337,713393,714447.3571428572,2180.1428571428405,713764.7358421424,2338.0226678231265
2615,338,716008,716585.2142857143,2137.8571428571595,715986.4715974631,2221.735755320755
2356,339,718364,718694.4285714285,2109.2142857142026,718169.7142512399,2183.242653776775
2361,340,720725,720768.3571428572,2073.928571428638,720262.9622710458,2093.2480198058765
2411,341,723136,722775.1428571428,2006.785714285681,722311.5073206646,2048.545049618813
1256,342,724392,724751.5,1976.3571428571595,724274.3807855836,1962.8734649190446
594,343,724986,726710.0,1958.5,726113.9546630733,1839.57387748966
2541,344,727527,728627.6428571428,1917.6428571428405,727960.2093111719,1846.2546480986057
2108,345,729635,730528.6428571428,1901.0,729705.9998851423,1745.7905739704147
2111,346,731746,732441.7142857143,1913.0714285714785,731465.0025145528,1759.0026294104755
2052,347,733798,734368.7142857143,1927.0,733222.2575501761,1757.255035623326
1999,348,735797,736324.2857142857,1955.571428571362,735025.9421379832,1803.6845878070453
1123,349,736920,738301.2142857143,1976.928571428638,736855.6685358329,1829.7263978497358
593,350,737513,740293.2142857143,1992.0,738707.0592566829,1851.3907208499731
2727,351,740240,742342.1428571428,2048.9285714285215,740714.3813994137,2007.3221427308163
2382,352,742622,744448.9285714285,2106.785714285681,742751.4240542504,2037.0426548366668
2525,353,745147,746601.3571428572,2152.428571428638,744920.3920406572,2168.967986406875
2556,354,747703,748796.0714285715,2194.714285714319,747179.9311729295,2259.5391322722426
2811,355,750514,751048.0,2251.9285714285215,749529.8807833313,2349.9496104018763
1555,356,752069,753325.9285714285,2277.9285714285215,751918.6198440273,2388.7390606959816
805,357,752874,755612.2857142857,2286.3571428571595,754266.9813894305,2348.3615454031387
3338,358,756212,757933.2142857143,2320.928571428638,756705.1793569776,2438.1979675471084
2918,359,759130,760280.9285714285,2347.7142857142026,759119.484441081,2414.305084103369
2750,360,761880,762644.8571428572,2363.928571428638,761555.7780764871,2436.293635406182
2644,361,764524,765017.7857142857,2372.9285714285215,763959.9272142687,2404.1491377815837
2800,362,767324,767385.0,2367.214285714319,766372.5588094915,2412.631595222745
1487,363,768811,769749.0,2364.0,768741.8977898326,2369.3389803410973
711,364,769522,772111.6428571428,2362.6428571428405,770957.0609979879,2215.1632081553107
3211,365,772733,774499.0714285715,2387.428571428638,773247.2972907323,2290.2362927444046
2757,366,775490,776919.5714285715,2420.5,775517.6376853089,2270.340394576662
2752,367,778242,779385.5714285715,2466.0,777850.8329188826,2333.1952335736714
2682,368,780924,781912.2142857143,2526.6428571428405,780220.0354400234,2369.2025211408036
2731,369,783655,784506.8571428572,2594.6428571428405,782695.032874819,2474.9974347956013
1510,370,785165,787150.5714285715,2643.714285714319,785199.515853938,2504.4829791189404
786,371,785951,789842.2857142857,2691.7142857142026,787611.2218851327,2411.7060311947716
3685,372,789636,792680.0714285715,2837.7857142857974,790205.3787312246,2594.1568460918497
3381,373,793017,795649.4285714285,2969.357142857043,792936.1127635749,2730.7340323503595
3387,374,796404,798767.5714285715,3118.142857142957,795886.4747702728,2950.36200669792
3493,375,799897,802053.8571428572,3286.285714285681,799023.4510095904,3136.9762393175624
3752,376,803649,805515.2142857143,3461.3571428571595,802407.9714787429,3384.520469152485
2174,377,805823,809071.9285714285,3556.7142857142026,805931.4463185589,3523.4748398159863
1383,378,807206,812685.0714285715,3613.142857142957,809450.3972338043,3518.9509152454557
5256,379,812462,816483.9285714285,3798.857142857043,813226.7699549366,3776.3727211322403
4599,380,817061,820472.5,3988.5714285714785,817155.5014108534,3928.7314559167717
4835,381,821896,824616.7142857143,4144.214285714319,821298.5896272201,4143.088216366712
5036,382,826932,828913.0714285715,4296.3571428571595,825600.4911659149,4301.9015386948595
5182,383,832114,833351.4285714285,4438.357142857043,830116.9174369345,4516.42627101962
2845,384,834959,837852.7857142857,4501.3571428571595,834765.5797070328,4648.662270098226
1576,385,836535,842376.1428571428,4523.3571428571595,839520.3499422347,4754.770235201926
6285,386,842820,846963.6428571428,4587.5,844224.1233752653,4703.773433030583
6037,387,848857,851593.8571428572,4630.214285714319,848933.7386527718,4709.6152775065275
5566,388,854423,856216.1428571428,4622.285714285681,853781.1733157575,4847.434662985732
5623,389,860046,860813.7142857143,4597.5714285714785,858694.4826668951,4913.309351137606
5740,390,865786,865390.7142857143,4577.0,863664.1647683654,4969.682101470302
3056,391,868842,869957.4285714285,4566.714285714203,868563.7529314283,4899.588163062814
