Area,566791.373,tR (min),17.822
Area,517230.566,tR (min),17.830
Area,21940.678,tR (min),18.493
Area,584372.880,tR (min),18.847
Compound Name,RT,Score
2-Decenal, (E)-,19.061,738,Area,699796.430,tR (min),19.061
Compound Name,RT,Score
N-(2-Methoxy-5-nitrophenyl)acetamide, TMS derivative,19.202,619,Area,785535.701,tR (min),19.202
Area,1286615.854,tR (min),19.421
Area,623959.239,tR (min),19.855
Compound Name,RT,Score
2,4-Nonadienal,20.1,733,Area,299810.875,tR (min),20.100
Area,50209.652,tR (min),20.209
Area,111890.936,tR (min),20.933
Compound Name,RT,Score
17-Octadecynoic acid,21.209,644,Area,142928.239,tR (min),21.209
Area,510529.858,tR (min),21.564
Area,905609.089,tR (min),21.567
Compound Name,RT,Score
1-(2,4-Dihydroxyphenyl)-2-(4-fluorophenoxy)ethanone, 2TMS d,21.793,635,Area,15038.415,tR (min),21.793
Compound Name,RT,Score
17-Octadecynoic acid,21.961,635,Area,170173.304,tR (min),21.961
Area,63506.961,tR (min),22.027
Area,148457.337,tR (min),22.309
Compound Name,RT,Score
1,2-Benzisothiazol-3-amine, TBDMS derivative,22.359,601,Area,176785.028,tR (min),22.359
Compound Name,RT,Score
Hexanoic acid,22.56,692,Area,1470611.167,tR (min),22.560
Area,365569.082,tR (min),22.921
Compound Name,RT,Score
Dimethyl sulfone,23.483,701,Area,278410.126,tR (min),23.483
Area,573028.585,tR (min),23.746
Compound Name,RT,Score
Benzoic acid, 4-methyl-2-trimethylsilyloxy-, TMS,24.797,625,Area,68190.385,tR (min),24.797
Compound Name,RT,Score
Octanoic acid,25.479,811,Area,1858288.393,tR (min),25.479
Compound Name,RT,Score
5-Methylsalicylic acid, 2TMS derivative,26.102,606,Area,43005.522,tR (min),26.102
Compound Name,RT,Score
Nonanoic acid,26.379,716,Area,778982.967,tR (min),26.379
Compound Name,RT,Score
2H-Pyran-2-one, tetrahydro-6-nonyl-,26.619,731,Area,473609.269,tR (min),26.619
Compound Name,RT,Score
14-Deoxy-12-hydroxyandrographolide, 3Ac,26.911,601,Area,73240.313,tR (min),26.911
Area,60001.716,tR (min),27.011
Compound Name,RT,Score
n-Decanoic acid,27.104,702,Area,1182094.761,tR (min),27.104
Compound Name,RT,Score
2,4-Di-tert-butylphenol,27.357,804,Area,625586.046,tR (min),27.357
Area,55178.777,tR (min),27.482
Compound Name,RT,Score
Gibb-3-ene-1,10-dicarboxylic acid, 2,4a-dihydroxy-1-methyl-,27.739,617,Area,59123.274,tR (min),27.739
Area,70002.561,tR (min),27.779
Compound Name,RT,Score
2H-Pyran-2-one, tetrahydro-6-tridecyl-,28.061,628,Area,274551.683,tR (min),28.061
Area,43872.440,tR (min),28.280
Area,52350.705,tR (min),28.381
Area,59413.591,tR (min),28.587
Area,57361.386,tR (min),28.614
Area,54777.716,tR (min),28.981
Area,106240.967,tR (min),29.366
Area,66515.456,tR (min),30.580

Sequence Name,20240603_S24031_BelénFlórez
Sample Name,E5
Area,118995.770,tR (min),2.947
Compound Name,RT,Score
Cyclotrisiloxane, hexamethyl-,2.996,793,Area,968202.010,tR (min),2.996
Area,14923321.070,tR (min),3.781
Area,10934257.325,tR (min),4.071
Area,6100709.911,tR (min),4.094
Area,2297743.500,tR (min),5.489
Area,6088969.723,tR (min),5.507
Area,942115.603,tR (min),5.538
Area,4331957.342,tR (min),5.545
Area,784629.362,tR (min),5.574
Area,7371103.804,tR (min),5.582
Area,112314.633,tR (min),6.647
Compound Name,RT,Score
Dodecane,6.802,730,Area,7376436.396,tR (min),6.802
Area,3761617.474,tR (min),7.369
Area,527913.872,tR (min),8.243
Area,92223.242,tR (min),8.335
Area,409268.520,tR (min),8.795
Area,370158.154,tR (min),8.832
Area,468557.762,tR (min),9.411
Compound Name,RT,Score
4-(2-amino-1-hydroxypropyl)phenol, 2TMS derivative,9.628,794,Area,28737242.322,tR (min),9.628
Area,190231.942,tR (min),10.041
Area,153837.601,tR (min),10.793
Compound Name,RT,Score
Octanal,11.924,609,Area,130853.497,tR (min),11.924
Compound Name,RT,Score
Hexadecane, 2,6,11,15-tetramethyl-,12.361,679,Area,179427.885,tR (min),12.361
Compound Name,RT,Score
Ethanol, 2-(octadecyloxy)-,12.678,653,Area,125811.593,tR (min),12.678
Compound Name,RT,Score
6,7-Dodecanedione,12.818,742,Area,1364206.659,tR (min),12.818
Area,12945055.662,tR (min),13.534
Compound Name,RT,Score
2-Nonanone,14.113,721,Area,651546.147,tR (min),14.113
Compound Name,RT,Score
Nonanal,14.214,779,Area,2098381.651,tR (min),14.214
Area,524635.277,tR (min),14.481
Area,58896.861,tR (min),14.706
Area,16329.872,tR (min),14.792
Compound Name,RT,Score
1-Nonen-3-ol,15.507,627,Area,310806.162,tR (min),15.507
Area,177047.383,tR (min),16.254
Area,298959.974,tR (min),16.343
Area,46740.481,tR (min),16.587
Compound Name,RT,Score
2,6-Dihydroxyacetophenone, 2TMS derivative,16.786,781,Area,3326722.632,tR (min),16.786
Compound Name,RT,Score
2-Nonenal, (E)-,17.046,693,Area,662603.069,tR (min),17.046
Area,30035.199,tR (min),17.092
Area,6491.425,tR (min),17.269
Area,61860.678,tR (min),17.313
Area,241707.252,tR (min),17.575
Area,171239.869,tR (min),17.813
