X,Y,Z,C
-757.945,9.52703,-765.964,0.0253374
-753.566,11.4994,-773.759,0.0251409
-750.704,18.2289,-790.367,0.0191252
-754.833,23.3449,-801.499,0.0170938
-761.062,27.0112,-802.318,0.0174163
-759.135,22.0829,-815.708,0.0147122
-793.379,60.9599,-802.862,0.0120449
-793.867,47.184,-764.508,0.0163092
-788.391,46.1701,-754.942,0.018703
-786.456,46.8788,-815.914,0.0125141
-780.604,41.883,-817.996,0.0127887
-777.25,30.7744,-779.244,0.018448
-767.805,33.2341,-799.275,0.0170411
-765.483,32.4888,-808.313,0.016453
-776.609,31.4651,-764.812,0.0193195
-782.385,45.3597,-790.17,0.0151497
-782.426,48.7628,-796.781,0.014059
-764.651,35.7561,-814.79,0.0149719
-780.065,38.23,-785.059,0.0175221
-797.107,61.717,-809.539,0.0118762
-773.253,37.8778,-800.398,0.0159162
-779.098,44.718,-803.719,0.014332
-781.349,38.7725,-750.837,0.0183269
-792.117,51.4129,-785.094,0.0130118
-797.012,59.1959,-788.779,0.0118299
-762.076,28.8861,-784.586,0.0190739
-783.202,41.3996,-771.973,0.0172645
-744.325,11.6913,-795.793,0.0184019
-740.62,9.37555,-821.033,0.0147961
-741.883,4.53856,-815.113,0.0165072
-745.573,10.9974,-815.321,0.0156783
-737.97,-4.87502,-775.154,0.0234978
-749.812,11.6348,-809.064,0.0159518
-743.667,9.5763,-779.615,0.0209179
-738.751,5.1982,-783.203,0.0202331
-757.421,23.878,-787.321,0.0198621
-837.765,103.555,-818.89,0.00631388
-886.335,146.233,-776.689,0.00531112
-867.763,120.029,-771.891,0.00546874
-863.673,112.009,-757.619,0.00733276
-832.004,100.263,-779.914,0.00624053
-840.72,108.663,-782.505,0.00772812
-850.264,108.978,-799.327,0.00601481
-845.543,116.904,-774.904,0.00696324
-861.908,125.239,-798.704,0.00406153
-832.756,99.1209,-764.361,0.00573234
-869.863,140.292,-799.403,0.00296083
-873.484,129.854,-751.563,0.00615906
-816.938,76.0496,-811.246,0.00785722
-952.715,220.88,-772.828,0.00904208
-942.17,201.635,-800.952,0.00445802
-903.58,162.352,-777.975,0.00656451
-893.331,144.997,-790.501,0.00536175
-977.903,251.013,-798.093,0.00212161
-986.339,248.075,-780.835,0.00238512
-964.639,229.571,-772.423,0.00829771
-952.039,229.438,-798.804,0.00578293
-1074.71,318.281,-799.355,0.00066414
-420.551,-351.38,-723.705,0.000628583
-401.539,-365.642,-725.818,0.000503705
-458.608,-293.49,-759.127,0.000744911
-573.525,-198.66,-683.366,0.00400323
-562.82,-215.085,-676.795,0.00398801
-543.658,-226.131,-694.306,0.00263656
-550.64,-205.744,-746.927,0.00297875
-524.831,-213.088,-737.46,0.00163651
-531.391,-234.956,-689.65,0.00245542
-530.047,-230.357,-703.698,0.00181636
-519.749,-243.726,-687.489,0.0019087
-499.565,-266.283,-679.53,0.000885301
-624.347,-141.396,-683.339,0.00237511
-574.835,-175.357,-731.099,0.0037121
-567.637,-179.121,-741.891,0.00372905
-562.791,-187.223,-718.327,0.00325633
-584.767,-174.499,-716.001,0.00360871
-596.025,-166.36,-701.026,0.00322901
-591.153,-178.331,-705.545,0.0030031
-562.537,-195.354,-699.752,0.00305999
-604.031,-156.88,-688.779,0.00303228
-599.802,-174.506,-671.849,0.00450871
-578.909,-191.906,-674.713,0.00498265
-573.3,-191.717,-694.127,0.00370652
-568.705,-187.875,-707.497,0.00365599
-689.985,-73.3335,-730.35,0.0115673
-673.198,-78.9798,-734.168,0.0102256
-676.139,-72.6078,-735.581,0.0106148
-689.57,-63.4976,-741.581,0.0137286
-679.044,-80.7743,-723.182,0.0098047
-709.929,-66.5346,-677.751,0.00822985
-678.449,-76.9962,-708.567,0.00945664
-700.078,-66.8155,-684.855,0.00884692
-687.924,-79.5893,-690.396,0.0071429
-687.892,-80.6167,-681.695,0.00643671
-691.97,-75.228,-695.313,0.00788934
-654.52,-103.731,-752.318,0.00558457
-626.644,-126.351,-730.242,0.00674345
-639.036,-118.963,-729.288,0.00511651
-625.098,-119.644,-740.716,0.00673392
-652.828,-105.709,-718.862,0.00243399
-658.812,-93.9848,-749.626,0.00450391
-661.453,-89.1303,-743.858,0.00479658
-667.884,-85.9932,-730.348,0.00809295
-667.639,-88.7452,-723.64,0.00752746
-659.106,-96.0439,-724.26,0.0032043
-666.518,-96.9785,-691.31,0.0047183
-667.933,-92.67,-680.342,0.00406615
-674.303,-83.1064,-707.109,0.00853777
-673.431,-84.1356,-714.485,0.00949887
-678.162,-78.4176,-716.04,0.0104571
-659.419,-94.524,-713.506,0.00452012
-676.599,-90.824,-696.847,0.00607125
-601.656,-135.785,-741.68,0.00559214
-757.23,-2.53666,-699.77,0.0185746
-763.206,-2.93735,-695.042,0.0182209
-762.456,-11.3052,-681.187,0.0157958
-765.633,0.0746735,-716.375,0.0201124
-750.935,-9.38195,-690.025,0.0167835
-735.896,-6.8122,-746.339,0.0307473
-747.292,-13.5418,-732.631,0.0311789
-746.642,-11.5176,-725.476,0.0323166
-736.038,-21.4593,-742.651,0.0264838
-729.232,-30.9186,-734.125,0.0229199
-730.78,-29.7426,-693.737,0.0154961
-734.994,-25.0747,-698.621,0.0167435
-742.542,-10.0523,-719.32,0.0235044
-739.563,-16.3608,-716.574,0.0228683
-745.771,-17.0945,-705.758,0.0187046
-750.708,-9.4215,-709.841,0.0226101
-734.614,-23.2792,-713.328,0.019422
-724.247,-43.7502,-687.77,0.0127574
-729.427,-28.1892,-715.414,0.0197272
-737.86,-26.5819,-683.868,0.0143882
-744.999,-21.0495,-682.392,0.015307
-731.777,-30.6754,-686.327,0.0142874
-729.134,-18.9423,-726.475,0.0229568
-708.296,-47.6113,-727.421,0.0150068
-705.274,-50.201,-733.725,0.015815
-699.057,-54.43,-735.114,0.0156067
-703.08,-47.5029,-742.403,0.0180691
-691.861,-68.2357,-725.331,0.0119173
-694.862,-57.2538,-729.562,0.0139026
-720.263,-26.3509,-745.153,0.0218669
-693.283,-57.9944,-744.812,0.0149784
-710.838,-37.3579,-737.628,0.0178455
-710.921,-48.4034,-711.734,0.0145353
-723.51,-32.3928,-704.938,0.0167616
-715.526,-42.1976,-696.973,0.0138081
-710.323,-47.6335,-697.147,0.0130162
-704.727,-52.4888,-698.968,0.0118677
-718.796,-36.6614,-708.614,0.0164646
-690.439,-66.154,-703.12,0.0101963
-717.011,-50.0547,-684.743,0.0112193
-696.271,-63.7567,-716.625,0.0117205
-701.884,-59.3852,-715.198,0.012581
-711.827,-40.8593,-723.835,0.0171671
-703.75,-59.623,-695.418,0.0101942
-692.641,-68.2196,-682.718,0.00827523
-720.942,-32.8032,-720.447,0.0199087
-684.963,-69.1507,-745.281,0.0135043
-666.829,-73.317,-751.845,0.00726465
