debut;fin;pays_origine;ville_origine;pays;ville;lieu;mode_deplacement;acronyme;libelle;faculte
2019-01-14;2019-01-20;Belgique;Bruxelles;USA;Austin;The Mesoamerica Center, Université du Texas à Austin, USA;avion_long_courrier_eco;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2018-11-14;2018-11-14;Belgique;Bruxelles;France;Paris;La maison de la Recherche de l'Université Sorbonne Nouvelle (Paris 3);train;L&L;Département de Langues et Lettres;LTC
2018-11-22;2018-12-01;Belgique;Bruxelles;Espagne;Madrid;Universidad Autónoma de Madrid [ES];avion_courte_distance;L&L;Département de Langues et Lettres;LTC
2018-11-27;2018-11-29;Belgique;Bruxelles;Norvège;Agder;Agder University College [NO];avion_courte_distance;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2019-02-06;2019-04-30;Germany;Berlin;Namibie;Windhoek;Namibia;;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-11-22;2018-12-02;Belgique;Bruxelles;Haïti;Port au Prince;Université d'Etat d'Haiti [HT];avion_long_courrier_eco;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2018-11-08;2018-11-08;Belgique;Bruxelles;France;Paris;Université Panthéon-Assas (Paris II) [FR];train;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-11-15;2018-11-15;Belgique;Bruxelles;France;Paris;Université Panthéon-Assas (Paris II) [FR];train;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-11-22;2018-11-22;Belgique;Bruxelles;France;Paris;Université Panthéon-Assas (Paris II) [FR];train;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-12-06;2018-12-06;Belgique;Bruxelles;France;Paris;Université Panthéon-Assas (Paris II) [FR];train;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-12-13;2018-12-16;Belgique;Bruxelles;France;Paris;Université Panthéon-Assas (Paris II) [FR];train;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-11-24;2018-12-02;Belgique;Bruxelles;États-Unis;Los Angeles, Phoenix, Boston, New York;Abilene Christian University [US];avion_long_courrier_eco;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-11-11;2018-11-15;Belgique;Bruxelles;Autriche;Viennes;Akademie der bildenden Künste Wien [AT];avion_courte_distance;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2018-11-21;2018-11-23;Belgique;Bruxelles;France;Lyon;MSH Lyon-Saint-Étienne 14, avenue Berthelot, Lyon 7e;train;L&L;Département de Langues et Lettres;LTC
2018-11-28;2018-11-30;Belgique;Bruxelles;Royaume-Uni;Oxford;Royaume-Uni, University of Oxford;avion_courte_distance;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-11-15;2018-11-20;Belgique;Bruxelles;Italie;rome et viterbo;"University of Roma ""La Sapienza"" [IT]";avion_courte_distance;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2018-12-03;2018-12-04;Belgique;Bruxelles;France;Paris;Université Paris 1;train;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2018-12-06;2018-12-07;Belgique;Bruxelles;France;Angers;Université d'Angers;train;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2018-11-08;2018-11-08;Belgique;Bruxelles;France;Lille;Sciencespo Lille;train;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-12-10;2018-12-10;Belgique;Bruxelles;France;Angers;EHESS;train;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2018-11-12;2018-11-13;Belgique;Bruxelles;Belgique;Liège;Université de Liège [BE];;L&L;Département de Langues et Lettres;LTC
2018-11-10;2018-11-18;Belgique;Bruxelles;Brésil;Sao Paulo et Brasilia;SBP JOR Brésil (association de journalisme) et Université de Brasilia;avion_long_courrier_eco;SIC;Département des Sciences de l'information et de la communication;LTC
2018-11-10;2018-11-17;Belgique;Bruxelles;Brésil;Sao Paulo;Universidade Federal de São Paulo [BR];avion_long_courrier_eco;SIC;Département des Sciences de l'information et de la communication;LTC
2018-05-29;2018-05-31;Belgique;Bruxelles;Ecosse;Edimbourg;Université Heriot-Watt;avion_courte_distance;TI;Département de Traduction et Interprétation (ISTI-Cooremans);LTC
2018-11-17;2018-11-26;Belgique;Bruxelles;Japon;Tokyo, Kyoto, Nagoya;trois universités japonaises - développement des contacts East - conférences;avion_long_courrier_eco;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2018-05-07;2018-11-12;Belgique;Bruxelles;Japon;Miyazaki;Language Resources and Evaluation Conference;avion_long_courrier_eco;SIC;Département des Sciences de l'information et de la communication;LTC
2018-11-14;2018-11-24;Belgique;Bruxelles;États-Unis;Denver, CO;Abilene Christian University [US];avion_long_courrier_eco;SIC;Département des Sciences de l'information et de la communication;LTC
2018-12-21;2018-12-21;Belgique;Bruxelles;Belgique;antwerpen;Universiteit Antwerpen [BE];voiture_essence;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-11-19;2018-11-25;Belgique;Bruxelles;Allemagne;Francfort;European Central Bank;train;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-11-13;2018-11-13;Belgique;Bruxelles;France;Paris (Boulevard du Lycée, Vanves);France, CTHS (Comité des Travaux Historiques et Scientifiques) Paris;voiture_diesel;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2018-11-19;2018-11-21;Belgique;Bruxelles;France;Egligny (F-77126);AgroParisTech [FR];;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2018-11-19;2018-12-03;Belgique;Bruxelles;Australie;Sydney;University of Sydney [AU];avion_long_courrier_eco;L&L;Département de Langues et Lettres;LTC
2018-11-15;2018-11-15;Belgique;Bruxelles;France;Paris;Expertise France;train;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2018-11-13;2018-11-13;Belgique;Bruxelles;France;Paris;Radio France Internationale;train;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2018-11-09;2018-11-10;Belgique;Bruxelles;France;Paris;Sénat (Paris);train;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-11-21;2018-11-23;Belgique;Bruxelles;France;Paris - Nanterre;AgroParisTech [FR];train;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2018-11-29;2018-12-02;Belgique;Bruxelles;Allemagne;Mainz;Deutscher Palästinaverein / Deutscher Verein zur Erforschung Palästinas;;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2018-12-01;2018-12-01;Allemagne;Mainz;Allemagne;Münster;Westfälische Wilhelms-Universität Münster [DE];;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-12-12;2018-12-13;Belgique;Bruxelles;France;Paris - Nanterre;Institut Catholique de Paris [FR] / Archéologie et Sciences de l'Antiquité (ArScAn);train;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2019-01-03;2019-02-28;Belgique;Bruxelles;Angleterre;Oxford;Université d'Oxford;train;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2018-02-07;2018-02-12;Belgique;Bruxelles;Israel;Jérusalem;Akademia le lashon haivrit;avion_long_courrier_eco;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-11-27;2018-12-02;Belgique;Bruxelles;France;Aix en Provence;Université Aix Marseille;train;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-12-07;2018-12-07;Belgique;Bruxelles;France;Paris;Sorbonne Université, Centre Léon Robin;train;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2018-11-25;2018-11-27;Belgique;Bruxelles;Italie;Florence;Fondazione Ezio Franceschini-Archivio Gianfranco Contini;avion_courte_distance;L&L;Département de Langues et Lettres;LTC
2018-11-19;2018-11-21;Belgique;Bruxelles;Espagne;Irun (Gipuzkoa);MUSEO ROMANO OIASSO;avion_courte_distance;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2019-01-02;2019-01-12;Belgique;Bruxelles;USA;Atlanta;ASSA Meeting + Martin Luther King center;avion_long_courrier_eco;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-11-16;2018-11-22;Belgique;Bruxelles;Chine;Pékin;Communication University of China [CN];avion_long_courrier_eco;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2018-12-21;2019-01-08;Belgique;Bruxelles;Espagne;Puente Viesgo;-;avion_courte_distance;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2018-12-04;2018-12-07;Belgique;Bruxelles;France;Paris;INALCO;train;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2018-11-20;2018-11-20;Belgique;Bruxelles;Pays-Bas;Maastricht;University of Maastricht [NL];train;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2018-11-27;2018-11-28;Belgique;Bruxelles;Allemagne;Bonn;Leibniz-Informationszentrum Wirtschaft;train;SIC;Département des Sciences de l'information et de la communication;LTC
2018-12-05;2018-12-14;Belgique;Bruxelles;Japan;Tokyo;Japan International Cooperation Center;avion_long_courrier_eco;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-11-20;2018-11-22;Belgique;Bruxelles;France;Paris;Institut Henri Poincaré (IHP) - SFdS;train;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-12-19;2018-12-21;Belgique;Bruxelles;France;Rennes;Université de Rennes 2;train;SIC;Département des Sciences de l'information et de la communication;LTC
2018-11-23;2018-11-23;Belgique;Bruxelles;Royaume-Uni;Oxford;University of Oxford [GB];train;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2018-10-01;2018-10-12;Brussels;Belgium;Roumanie;Bucharest;No university attachement;avion_courte_distance;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-11-13;2018-11-13;Belgique;Bruxelles;France;Paris;Radio France Internationale (RFI);train;SIC;Département des Sciences de l'information et de la communication;LTC
2018-11-11;2018-11-12;Belgique;Bruxelles;France;Paris;Université Sorbonne-Nouvelle (Paris III) [FR];train;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2018-12-05;2018-12-05;Belgique;Bruxelles;France;Lille;Université Catholique de Lille [FR];train;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2019-01-19;2019-03-14;Belgique;Bruxelles;République Démocratique Populaire Lao;;Laos;;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2018-11-22;2018-11-22;Belgique;Bruxelles;France;Lille;France Institut catholique de Lille;train;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2018-11-19;2018-12-19;Belgique;Bruxelles;Niger;Niamey;Université Abdou Moumouni de Niamey [NE];voiture_essence;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-12-13;2018-12-15;Belgique;Bruxelles;Allemagne;Münster;WWU Münster (Université de Münster);train;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2018-11-28;2018-12-01;Belgique;Bruxelles;Italie;22017 Loveno di Menaggio;Villa Vigoni - German-Italian Centre for European Excellence;avion_courte_distance;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2018-09-20;2018-09-22;Belgique;Bruxelles;France;Clermont Ferrand;UNiversité de Clermont-Ferrand;train;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2018-11-22;2018-11-22;Belgique;Bruxelles;France;Paris;Université Paris II;train;SIC;Département des Sciences de l'information et de la communication;LTC
2018-12-17;2018-12-19;Belgique;Bruxelles;Italie;Florence;Università degli studi di Firenze;avion_courte_distance;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2018-10-11;2018-10-12;Belgique;Bruxelles;France;Paris;Université Sorbonne Nouvelle;train;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2018-12-15;2018-12-22;Belgique;Bruxelles;France;Lyon;Université Lymière Lyon 2, Institut d'Etudes du Travail;train;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2018-12-16;2018-12-18;Belgique;Bruxelles;Espagne;MALAGA;Universidad de Málaga [ES];avion_courte_distance;TI;Département de Traduction et Interprétation (ISTI-Cooremans);LTC
2018-12-09;2018-12-10;Belgique;Bruxelles;France;Aix en provence;IEP d'Aix-en-Provence;avion_courte_distance;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-12-17;2018-12-19;Belgique;Bruxelles;France;Paris;Centre National de la Danse, Association des Chercheurs en Danse;train;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2018-11-28;2018-11-29;Belgique;Bruxelles;Allemagne;Düsseldorf;Heinrich-Heine Universität Düsseldorf [DE];train;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-11-30;2018-11-30;Belgique;Bruxelles;France;Paris;Centre de Recherche Médecine, Sciences, santé, santé mentale, société (CERMES3);train;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2018-12-06;2018-12-06;Belgique;Bruxelles;Pays-Bas;Maastricht;University of Maastricht [NL];train;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2018-11-18;2018-11-20;France;Lille;France;Paris;France, Ministère des Armées, Hexagone Balard.;train;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-10-30;2018-11-04;Belgique;Bruxelles;Suisse;Lugano;Universita della Svizzera italiana;avion_courte_distance;SIC;Département des Sciences de l'information et de la communication;LTC
2019-01-02;2019-01-08;Belgique;Bruxelles;USA;Atlanta;Annual meetings, American Economic Association;avion_long_courrier_eco;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2019-05-25;2019-06-01;Belgique;Bruxelles;États-Unis;Washington;NAFSA Educational Conference;avion_long_courrier_eco;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-12-15;2018-12-23;Belgique;Bruxelles;Burkina Faso;Ouagadougou;Université Ouaga II [BF];avion_long_courrier_eco;SIC;Département des Sciences de l'information et de la communication;LTC
2018-12-12;2018-12-12;Belgique;Bruxelles;France;Paris;La maison de la Recherche de l'Université Sorbonne Nouvelle (Paris 3) ;train;L&L;Département de Langues et Lettres;LTC
2018-12-01;2018-12-04;Belgique;Bruxelles;France;Paris;Université Paris-Sorbonne (Paris IV) [FR];train;L&L;Département de Langues et Lettres;LTC
2018-12-05;2018-12-06;Belgique;Bruxelles;Suisse;Lausanne;University of Lausanne [CH];avion_courte_distance;L&L;Département de Langues et Lettres;LTC
2019-03-21;2019-03-30;Belgique;Bruxelles;Malaisie;Kuala Lumppur;APAIE;avion_long_courrier_eco;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-12-08;2018-12-09;Belgique;Bruxelles;France;Paris;Archives Nationales de France;train;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2018-12-17;2018-12-18;Belgique;Bruxelles;Espage;Girone;Archives Nationales de France;avion_courte_distance;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2019-01-10;2019-01-15;Belgique;Bruxelles;Chine;Jinghong;InterContinental Xishuangbanna Resort;avion_long_courrier_eco;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2019-02-22;2019-02-23;Belgique;Bruxelles;Royaume-Uni;Cambridge;University of Cambridge [GB];train;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-11-13;2019-05-01;Italy;Milan;Vietnam;Ho Chi Minh City;Vietnam, Ho Chi Minh City;avion_long_courrier_eco;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2019-04-04;2019-04-06;Belgique;Bruxelles;Pologne;Natolin;Academy of Economics in Cracow [PL];;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2019-03-05;2019-03-06;Belgique;Bruxelles;France;Paris;Centre d'études sur la Chine moderne et contemporaine (CECMC) de l'École des hautes études en sciences sociales (EHESS);train;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-12-04;2018-12-08;Belgique;Bruxelles;Roumanie;Brasov;"University ""Transilvany"" of Brasov [RO]";avion_courte_distance;L&L;Département de Langues et Lettres;LTC
2018-12-07;2018-12-07;Belgique;Bruxelles;Belgique;Anvers;Belgique;voiture_essence;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-12-12;2018-12-22;Belgique;Bruxelles;France;Clermont Ferrand;direction de la culture de la métropole Clermont Auvergne Métropole;train;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2019-01-14;2019-02-03;Belgique;Bruxelles;France;Pierrefitte-sur-Seine;Archives Nationales Francaises - Recherche en Archives;train;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-12-06;2018-12-08;Belgique;Bruxelles;Pologne;Varsovie;Warsaw University;avion_courte_distance;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-12-18;2018-12-20;Belgique;Bruxelles;Italy;London;Westminster Business School;train;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-12-16;2018-12-17;Belgique;Bruxelles;Espagne;Barcelone;Universitat Pompeu Fabra [ES];avion_courte_distance;SIC;Département des Sciences de l'information et de la communication;LTC
2019-04-23;2019-04-26;Belgique;Bruxelles;Autriche;Vienne;University of Vienna;avion_courte_distance;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2018-10-26;2018-11-08;Belgique;Bruxelles;Viet Nam;Hanoi;Vietnam National University Hanoi [VN];avion_long_courrier_eco;TI;Département de Traduction et Interprétation (ISTI-Cooremans);LTC
2018-12-13;2018-12-15;BELGIQUE;BRUXELLES;France;Paris;Université Paris-Sorbonne (Paris IV) [FR];train;L&L;Département de Langues et Lettres;LTC
2018-12-18;2018-12-20;Belgique;Bruxelles;France;Lille;Université de Lille;;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-12-13;2018-12-17;Belgique;Bruxelles;Italie;Pisa;Conference center;avion_courte_distance;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-12-12;2018-12-13;Belgique;Bruxelles;France;Paris;Paris-Est Créteil;train;SIC;Département des Sciences de l'information et de la communication;LTC
2018-12-15;2018-12-17;Belgique;Bruxelles;Espagne;Barcelone;Universitat Pompeu Fabra [ES];avion_courte_distance;SIC;Département des Sciences de l'information et de la communication;LTC
2018-12-17;2018-12-20;Belgique;Bruxelles;Espagne;Salamanca;Universidad de Salamanca [ES];avion_courte_distance;L&L;Département de Langues et Lettres;LTC
2019-01-08;2019-04-04;Belgique;Bruxelles;Canada;Montréal;Université de Montréal - CERIUM;avion_long_courrier_eco;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-12-05;2018-12-08;Belgium;Brussels;Italy;Naples; Centre for studies in Economics and Finance (CSEF) and the University of Naples Federico II;avion_courte_distance;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-12-13;2018-12-17;Belgique;Bruxelles;Italie;Pise;University of Pisa [IT];avion_courte_distance;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2019-01-09;2019-01-11;Belgique;Bruxelles;France;Poitiers;Centre d'Etudes Supérieures de Civilisation Médiévale (Université Poitiers);train;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2018-12-14;2018-12-15;Belgique;Bruxelles;France;Paris;Sciences Po Paris;train;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-10-31;2018-11-04;Belgique;Bruxelles;Suisse;Lugano;Acquisizione e Organizzazione Congressi;avion_courte_distance;SIC;Département des Sciences de l'information et de la communication;LTC
2019-04-04;2019-04-05;Belgique;Bruxelles;Pologne;Natolin;Academy of Economics in Katowice [PL];;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2019-06-27;2019-07-01;Belgique;Bruxelles;UK;Oxford;Academy of Economics in Katowice [PL];;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2019-02-06;2019-02-07;Belgique;Bruxelles;France;Lyon;Universtité de Lyon;;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2019-02-13;2019-02-14;Belgique;Bruxelles;Allemagne;Francfort;Universtité de Francfort;;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-12-05;2018-12-08;Belgique;Bruxelles;Italie;Naples;CSEF;avion_long_courrier_eco;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2019-02-07;2019-02-07;Belgique;Bruxelles;France;Paris;Université Sorbonne-Nouvelle (Paris III) [FR];train;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2018-12-18;2018-12-19;Belgique;Bruxelles;France;Lille;Université de Lille;train;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2019-01-15;2019-01-17;Belgique;Bruxelles;Royaume Uni;Leicester;University of Leicester;train;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2019-01-25;2019-01-26;Belgique;Bruxelles;France;Strasbourg;Université Robert Schuman (Strasbourg III) [FR];;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2019-02-13;2019-02-15;Belgique;Bruxelles;Pays-Bas;Groningen;University of Groningen [NL];train;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-12-20;2018-12-21;Belgique;Bruxelles;Pays-Bas;Amsterdam;Eye Film Institute;train;SIC;Département des Sciences de l'information et de la communication;LTC
2018-12-17;2018-12-18;Belgique;Bruxelles;Allemagne;Wolfenbüttel;Mémorial de la prison de Wolfenbüttel (Gedenkstätte in der JVA Wolfenbüttel);train;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2018-11-29;2018-11-30;Belgique;Bruxelles;France;Paris;France, Revue européenne des sciences sociales;train;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-12-18;2018-12-21;Belgique;Bruxelles;Suisse;Genève;Terrain de recherche (entretiens) aux Nations Unies;avion_courte_distance;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-12-19;2018-12-19;Belgique;Bruxelles;France;Paris;Université de Lille;train;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-11-23;2017-11-24;France;Arras;France;Arras;Université d'Artois /;voiture_diesel;SIC;Département des Sciences de l'information et de la communication;LTC
2019-02-21;2019-02-24;Belgique;Bruxelles;Germany;Bamberg;ECPR;avion_courte_distance;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-12-20;2018-12-21;Belgique;Bruxelles;France;Paris;Institut d'Etudes Politiques de Paris (Sciences Po) [FR];train;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2019-02-14;2019-02-15;Belgique;Bruxelles;France;Paris;Musée National de l'Histoire de l'Immigration;train;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2019-03-17;2019-04-14;Belgique;Bruxelles;Russie;Moscou, Novossibirsk;Institut de l'Archéologie et de l'Ethnographie, Académie des Sciences de Russie, Branche sibérienne;avion_long_courrier_eco;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2019-01-07;2019-01-10;Belgique;Bruxelles;Géorgie;Toulouse + Montpellier;TSE + Archives Nationale;train;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2019-01-17;2019-01-30;Belgique;Bruxelles;France;Toulouse, Perpignan, Montpellier;TSE/Archives nationales refugies;train;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-12-19;2018-12-19;Belgique;Bruxelles;France;Paris;Institut d'Etudes Politiques de Paris (Sciences Po) [FR];train;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2018-11-21;2018-11-23;Belgique;Bruxelles;Suisse;Bienne;HEP(Haute école de pédagogie) BEJUNE;avion_courte_distance;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-11-20;2018-11-21;belgique;bruxelles;France;Paris;Conservatoire National des Arts et Métiers [FR];train;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2019-01-13;2019-01-27;Belgique;Bruxelles;Laos;Vientiane - Luang Prabang;---;avion_long_courrier_eco;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2018-05-26;2018-06-02;Belgique;Bruxelles;France;Paris;CNRS;train;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-02-11;2018-02-14;Belgique;Bruxelles;France;Caen;Université de Caen Basse Normandie [FR];voiture_diesel;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2018-10-30;2018-11-02;Belgique;Bruxelles;France;Marseille;Université d'Aix-Marseille III [FR];voiture_essence;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2019-01-03;2019-01-15;Belgique;Bruxelles;USA;Atlanta;2019 ASSA Meeting at Hyatt Regency Atlanta;avion_long_courrier_eco;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2019-03-28;2019-04-23;Allemagne;Düsseldorf;Panama;Panama City;Panama, Panama City, Fundación Ciudad del Saber, Instituto de Estudios Superiores de Administración (IESA);avion_long_courrier_eco;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2019-01-03;2019-01-09;Belgique;Bruxelles;United States;Chicago;American Historical Association;avion_long_courrier_eco;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2019-01-03;2019-01-06;Belgique;Bruxelles;Tunisie;Tunis;Faculté de médecine de l'Université de Tunis;avion_courte_distance;DECB;Décanat de la Faculté de Philosophie et Sciences Sociales;PHILOSCSOC
2019-01-14;2019-01-14;Belgique;Charleroi;France;Paris;Université de Cergy-Pontoise [FR];train;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2019-01-23;2019-01-25;Belgique;Bruxelles;Suisse;Genève;Brocher Foundation;avion_courte_distance;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2019-01-17;2019-01-18;Belgique;Bruxelles;Allemagne;Berlin;Wikimedia Deutschland;avion_courte_distance;SIC;Département des Sciences de l'information et de la communication;LTC
2019-01-11;2019-01-12;Belgique;Bruxelles;France;Paris;Université Paris-Sorbonne (Paris IV) [FR];train;L&L;Département de Langues et Lettres;LTC
2019-01-29;2019-02-01;Belgique;Bruxelles;France;Montpellier;AgroParisTech [FR];train;L&L;Département de Langues et Lettres;LTC
2019-03-02;2019-03-11;Belgique;Quenast;France;Dzaoudi;AgroParisTech [FR];avion_long_courrier_eco;L&L;Département de Langues et Lettres;LTC
2019-01-09;2019-01-09;Belgique;Bruxelles;France;Paris;France - Institut Henri Poincaré - Société Française de Statistique;train;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2019-01-09;2019-01-21;Belgique;Bruxelles;Pologne;Pozna?;POLOGNE;avion_courte_distance;L&L;Département de Langues et Lettres;LTC
2019-01-09;2019-01-09;Belgique;Bruxelles;France;Paris;Institut Henri Poincaré;train;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
2019-01-12;2019-01-14;Belgique;Bruxelles;France;Paris;GEMDEV;train;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2019-01-23;2019-01-27;Belgique;Bruxelles;France;Epinal;Centre des congrès d'Epinal;train;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2019-01-21;2019-01-22;Belgique;Bruxelles;France;Paris;Centre National de la Danse;train;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2019-01-31;2019-02-01;Belgique;Bruxelles;France;Paris;Centre National de la Danse;;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2019-01-12;2019-01-15;Belgique;Bruxelles;Royaume-Uni;Cambridge;University of Cambridge [GB];train;DECS;Dean's Office - Solvay Brussels School of Economics and Management;SBS
