debut;fin;pays_origine;ville_origine;pays;ville;lieu;mode_deplacement;acronyme;libelle;faculte
2017-02-23;2017-02-23;;;France;Paris;Observatoire politique de l’Amérique latine et des Caraïbes (OPALC) du Centre d’études et de recherches internationales (CERI) de Sciences Po Paris;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2016-10-27;2016-10-27;;;France;Paris;Observatoire politique de l’Amérique latine et des Caraïbes (OPALC) du Centre d’études et de recherches internationales (CERI) de Sciences Po Paris;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-03-29;2017-03-31;;;République tchèque;Nymburk;Université Charles/ La Ville de Nymburk;NULL;L&L;Département de Langues et Lettres;LTC
2018-04-18;2017-04-21;;;Etats-Unis;Chapel Hill;Université de Chapel Hill;NULL;L&L;Département de Langues et Lettres;LTC
2017-03-19;2017-03-19;;;France;Paris;;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-04-21;2017-04-22;;;Les Pays-Bas;Leiden;Universiteit Leiden;NULL;L&L;Département de Langues et Lettres;LTC
2017-03-20;2017-03-20;;;France;Paris;;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-03-22;2017-03-24;;;France;Paris;UNESCO;NULL;TI;Département de Traduction et Interprétation (ISTI-Cooremans);LTC
2017-03-19;2017-03-23;;;Autriche;Innsbruck;Université de l'Innsbruck;NULL;L&L;Département de Langues et Lettres;LTC
2017-04-24;2017-06-18;;;United Kingdom;Oxford;University of Oxford;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-05-31;2017-06-04;;;Pologne;Varsovie;Université de Varsovie (Uniwersytet Warszawski);NULL;L&L;Département de Langues et Lettres;LTC
2017-04-07;2017-04-17;;;Espagne;Puente Viesgo;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-05-25;2017-06-06;;;Espagne;Puente Viesgo;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-07-20;2017-08-07;;;Espagne;Puente Viesgo;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-05-02;2017-05-20;;;Canada;Montréal - Québec - Halifax;- Université Laval (Québec – Canada)- University of King’s College (Halifax, Nova Scotia, Canada);NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2017-05-05;2017-05-14;;;Canada;Montréal;;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2017-03-27;2017-03-29;;;Espagne;Madrid;UNI Europa;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-03-27;2017-03-28;;;Espagne;Madrid;UNI-Europa;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-03-15;2017-03-18;;;Allemagne;Berlin;HTW Hochschule für Technik und Wirtschaft Berlin/University of Applied Sciences;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-04-03;2017-03-16;;;Brésil;Sao Paolo;University of Sao Paolo;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-04-25;2017-04-28;;;Angleterre;Nottingham;University of Nottingham;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-07-03;2017-07-10;;;Royaume Uni;Oxford, Londres;University of Oxford + Alan Turing Institute;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2017-03-28;2017-03-31;;;Jordanie;Amman;Université de Jordanie;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2017-04-07;2017-04-08;;;France;Metz;Festival de littérature;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2017-04-10;2017-04-15;;;Bahrein;Manama;University of Bahrein;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2017-05-24;2017-05-29;;;Roumanie;Targoviste;Université de Targoviste;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2017-03-23;2017-03-24;;;France;Paris;Colloque du GIS journalisme;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2017-03-23;2017-03-23;;;France;Paris;Commission Fulbright;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-05-21;2017-06-02;;;Chine;Shanghai;Shanghai Normal University;NULL;TI;Département de Traduction et Interprétation (ISTI-Cooremans);LTC
2016-06-30;2016-07-08;;;Danemark;Copenhagen;University of Copenhagen;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2016-06-30;2016-07-08;;;République tchèque;Prague;Charles University in Prague;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
